18.71,KOTA BANDAR LAMPUNG
18.72,KOTA METRO
19.01,KABUPATEN BANGKA
19.02,KABUPATEN BELITUNG
19.03,KABUPATEN BANGKA SELATAN
19.04,KABUPATEN BANGKA TENGAH
19.05,KABUPATEN BANGKA BARAT
19.06,KABUPATEN BELITUNG TIMUR
19.71,KOTA PANGKAL PINANG
21.01,KABUPATEN BINTAN
21.02,KABUPATEN KARIMUN
21.03,KABUPATEN NATUNA
21.04,KABUPATEN LINGGA
21.05,KABUPATEN KEPULAUAN ANAMBAS
21.71,KOTA BATAM
21.72,KOTA TANJUNG PINANG
31.01,KABUPATEN ADM. KEP. SERIBU
31.71,KOTA ADM. JAKARTA PUSAT
31.72,KOTA ADM. JAKARTA UTARA
31.73,KOTA ADM. JAKARTA BARAT
31.74,KOTA ADM. JAKARTA SELATAN
31.75,KOTA ADM. JAKARTA TIMUR
32.01,KABUPATEN BOGOR
32.02,KABUPATEN SUKABUMI
32.03,KABUPATEN CIANJUR
32.04,KABUPATEN BANDUNG
32.05,KABUPATEN GARUT
32.06,KABUPATEN TASIKMALAYA
32.07,KABUPATEN CIAMIS
32.08,KABUPATEN KUNINGAN
32.09,KABUPATEN CIREBON
32.10,KABUPATEN MAJALENGKA
32.11,KABUPATEN SUMEDANG
32.12,KABUPATEN INDRAMAYU
32.13,KABUPATEN SUBANG
32.14,KABUPATEN PURWAKARTA
32.15,KABUPATEN KARAWANG
32.16,KABUPATEN BEKASI
32.17,KABUPATEN BANDUNG BARAT
32.18,KABUPATEN PANGANDARAN
32.71,KOTA BOGOR
32.72,KOTA SUKABUMI
32.73,KOTA BANDUNG
32.74,KOTA CIREBON
32.75,KOTA BEKASI
32.76,KOTA DEPOK
32.77,KOTA CIMAHI
32.78,KOTA TASIKMALAYA
32.79,KOTA BANJAR
33.01,KABUPATEN CILACAP
33.02,KABUPATEN BANYUMAS
33.03,KABUPATEN PURBALINGGA
33.04,KABUPATEN BANJARNEGARA
33.05,KABUPATEN KEBUMEN
33.06,KABUPATEN PURWOREJO
33.07,KABUPATEN WONOSOBO
33.08,KABUPATEN MAGELANG
33.09,KABUPATEN BOYOLALI
33.10,KABUPATEN KLATEN
33.11,KABUPATEN SUKOHARJO
33.12,KABUPATEN WONOGIRI
33.13,KABUPATEN KARANGANYAR
33.14,KABUPATEN SRAGEN
33.15,KABUPATEN GROBOGAN
33.16,KABUPATEN BLORA
33.17,KABUPATEN REMBANG
33.18,KABUPATEN PATI
33.19,KABUPATEN KUDUS
33.20,KABUPATEN JEPARA
33.21,KABUPATEN DEMAK
33.22,KABUPATEN SEMARANG
33.23,KABUPATEN TEMANGGUNG
33.24,KABUPATEN KENDAL
33.25,KABUPATEN BATANG
33.26,KABUPATEN PEKALONGAN
33.27,KABUPATEN PEMALANG
33.28,KABUPATEN TEGAL
33.29,KABUPATEN BREBES
33.71,KOTA MAGELANG
33.72,KOTA SURAKARTA
33.73,KOTA SALATIGA
33.74,KOTA SEMARANG
33.75,KOTA PEKALONGAN
33.76,KOTA TEGAL
34.01,KABUPATEN KULON PROGO
34.02,KABUPATEN BANTUL
34.03,KABUPATEN GUNUNGKIDUL
34.04,KABUPATEN SLEMAN
34.71,KOTA YOGYAKARTA
35.01,KABUPATEN PACITAN
35.02,KABUPATEN PONOROGO
35.03,KABUPATEN TRENGGALEK
35.04,KABUPATEN TULUNGAGUNG
35.05,KABUPATEN BLITAR
35.06,KABUPATEN KEDIRI
35.07,KABUPATEN MALANG
35.08,KABUPATEN LUMAJANG
35.09,KABUPATEN JEMBER
35.10,KABUPATEN BANYUWANGI
35.11,KABUPATEN BONDOWOSO
35.12,KABUPATEN SITUBONDO
35.13,KABUPATEN PROBOLINGGO
35.14,KABUPATEN PASURUAN
35.15,KABUPATEN SIDOARJO
